record_id,master_asset_id,parent_record_id,entity_ids,content_type,working_title_or_beat,status,human_source_or_contribution,ai_tool_or_model,source_asset_refs,rights_record_id,rights_status,disclosure_status,claim_ids,intervention_id,changeset_id,publication_state,platform,publication_url,published_at,evidence_refs,notes
VM-S1-E01,VOID-MASTER-S1-E01,,MC-001|VOID-001,CANON,The ordinary world / the threshold,outline,Creator-provided premise recorded in the Season 1 architecture,ChatGPT-assisted outline; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Episode outline only; order and final cut unconfirmed.
VM-S1-E02,VOID-MASTER-S1-E02,,MC-001|VOID-001,CANON,The doors,outline,Creator-provided red-door scene,ChatGPT-assisted outline; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Episode outline only.
VM-S1-E03,VOID-MASTER-S1-E03,,MC-001|VOID-001,CANON,The visitors,outline,Creator-provided aliens ask for money scene,ChatGPT-assisted outline; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Episode outline only.
VM-S1-E04,VOID-MASTER-S1-E04,,MC-001|VOID-001,CANON,The heart,outline,Creator-provided frozen heart and surrender scene,ChatGPT-assisted outline; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Episode outline only.
VM-S1-E05,VOID-MASTER-S1-E05,,MC-001|VOID-001,CANON,The bargain,outline,Creator-provided post-bargain celebration and heart/brain ambiguity,ChatGPT-assisted outline; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Episode outline; preserve ambiguity until creator confirms.
VM-S1-E06,VOID-MASTER-S1-E06,,MC-001|VOID-001,CANON,The sign of faith,outline,Creator-provided Bible and cup scene with aliens,ChatGPT-assisted outline; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Episode outline only.
VM-S1-E07,VOID-MASTER-S1-E07,,MC-001|VOID-001,CANON,The mind,outline,Creator-provided golden brain and elixir beat,ChatGPT-assisted outline; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Episode outline only.
VM-S1-E08,VOID-MASTER-S1-E08,,MC-001|VOID-001,CANON,The ascent,outline,Creator-provided mansion throne red carpet and briefcase imagery,ChatGPT-assisted outline; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Dreamlike outline; not a guaranteed outcome.
VM-S1-E09,VOID-MASTER-S1-E09,,MC-001|VOID-001,CANON,The mirror,outline,Creator-provided NUX and Twins identity question and return to Maria,ChatGPT-assisted outline; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Episode outline only; relationships and first appearances require creator review.
TR-01,VOID-TRIAL-01,,MC-001|VOID-001,TRIAL,Opening hook,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-02,VOID-TRIAL-02,,MC-001|VOID-001,TRIAL,Red-door framing,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-03,VOID-TRIAL-03,,MC-001|VOID-001,TRIAL,Alien entrance,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-04,VOID-TRIAL-04,,MC-001|VOID-001,TRIAL,Money demand,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
