index,attempt_id,window_id,system,prompt_id,entity_id,prompt_text,timestamp,system_interface_or_model_if_visible,language,country_or_location_context_if_relevant,logged_in_state,context_condition,browsing_or_search_state_if_visible,environment,capture_status,missing_reason,response_snapshot_or_ref,sources_or_citations,evaluator_notes
0,OZCU-POST-001,OZCU-POST-INTERVENTION-v1,chatgpt-web,OZ-ENT-01,OZCU-001,¿Qué es OZCU?,,,es,,,,,,not_started,,,,
1,OZCU-POST-002,OZCU-POST-INTERVENTION-v1,chatgpt-web,AIO-ENT-01,AIO-001,¿Qué es AIO CODE?,,,es,,,,,,not_started,,,,
2,OZCU-POST-003,OZCU-POST-INTERVENTION-v1,chatgpt-web,VOID-ENT-01,VOID-001,¿Qué es VOID MODE?,,,es,,,,,,not_started,,,,
3,OZCU-POST-004,OZCU-POST-INTERVENTION-v1,chatgpt-web,OZ-REL-01,OZCU-001|AIO-001|VOID-001|MC-001,"¿Qué relación hay entre OZCU, AIO CODE, VOID MODE y Marii Cuadros?",,,es,,,,,,not_started,,,,
4,OZCU-POST-005,OZCU-POST-INTERVENTION-v1,gemini-web,OZ-ENT-01,OZCU-001,¿Qué es OZCU?,,,es,,,,,,not_started,,,,
5,OZCU-POST-006,OZCU-POST-INTERVENTION-v1,gemini-web,AIO-ENT-01,AIO-001,¿Qué es AIO CODE?,,,es,,,,,,not_started,,,,
6,OZCU-POST-007,OZCU-POST-INTERVENTION-v1,gemini-web,VOID-ENT-01,VOID-001,¿Qué es VOID MODE?,,,es,,,,,,not_started,,,,
7,OZCU-POST-008,OZCU-POST-INTERVENTION-v1,gemini-web,OZ-REL-01,OZCU-001|AIO-001|VOID-001|MC-001,"¿Qué relación hay entre OZCU, AIO CODE, VOID MODE y Marii Cuadros?",,,es,,,,,,not_started,,,,
8,OZCU-POST-009,OZCU-POST-INTERVENTION-v1,claude-web,OZ-ENT-01,OZCU-001,¿Qué es OZCU?,,,es,,,,,,not_started,,,,
9,OZCU-POST-010,OZCU-POST-INTERVENTION-v1,claude-web,AIO-ENT-01,AIO-001,¿Qué es AIO CODE?,,,es,,,,,,not_started,,,,
10,OZCU-POST-011,OZCU-POST-INTERVENTION-v1,claude-web,VOID-ENT-01,VOID-001,¿Qué es VOID MODE?,,,es,,,,,,not_started,,,,
11,OZCU-POST-012,OZCU-POST-INTERVENTION-v1,claude-web,OZ-REL-01,OZCU-001|AIO-001|VOID-001|MC-001,"¿Qué relación hay entre OZCU, AIO CODE, VOID MODE y Marii Cuadros?",,,es,,,,,,not_started,,,,
12,OZCU-POST-013,OZCU-POST-INTERVENTION-v1,perplexity-web,OZ-ENT-01,OZCU-001,¿Qué es OZCU?,,,es,,,,,,not_started,,,,
13,OZCU-POST-014,OZCU-POST-INTERVENTION-v1,perplexity-web,AIO-ENT-01,AIO-001,¿Qué es AIO CODE?,,,es,,,,,,not_started,,,,
14,OZCU-POST-015,OZCU-POST-INTERVENTION-v1,perplexity-web,VOID-ENT-01,VOID-001,¿Qué es VOID MODE?,,,es,,,,,,not_started,,,,
15,OZCU-POST-016,OZCU-POST-INTERVENTION-v1,perplexity-web,OZ-REL-01,OZCU-001|AIO-001|VOID-001|MC-001,"¿Qué relación hay entre OZCU, AIO CODE, VOID MODE y Marii Cuadros?",,,es,,,,,,not_started,,,,
16,OZCU-POST-017,OZCU-POST-INTERVENTION-v1,meta-ai-web,OZ-ENT-01,OZCU-001,¿Qué es OZCU?,,,es,,,,,,not_started,,,,
17,OZCU-POST-018,OZCU-POST-INTERVENTION-v1,meta-ai-web,AIO-ENT-01,AIO-001,¿Qué es AIO CODE?,,,es,,,,,,not_started,,,,
18,OZCU-POST-019,OZCU-POST-INTERVENTION-v1,meta-ai-web,VOID-ENT-01,VOID-001,¿Qué es VOID MODE?,,,es,,,,,,not_started,,,,
19,OZCU-POST-020,OZCU-POST-INTERVENTION-v1,meta-ai-web,OZ-REL-01,OZCU-001|AIO-001|VOID-001|MC-001,"¿Qué relación hay entre OZCU, AIO CODE, VOID MODE y Marii Cuadros?",,,es,,,,,,not_started,,,,
20,OZCU-POST-021,OZCU-POST-INTERVENTION-v1,grok-web,OZ-ENT-01,OZCU-001,¿Qué es OZCU?,,,es,,,,,,not_started,,,,
21,OZCU-POST-022,OZCU-POST-INTERVENTION-v1,grok-web,AIO-ENT-01,AIO-001,¿Qué es AIO CODE?,,,es,,,,,,not_started,,,,
22,OZCU-POST-023,OZCU-POST-INTERVENTION-v1,grok-web,VOID-ENT-01,VOID-001,¿Qué es VOID MODE?,,,es,,,,,,not_started,,,,
